key,value
Player Software Version,2.4.0
Data Format Version,2.0
Export Date,25.11.2020
Export Time,13:51:46
Frame Index Range:,0 - 9510
Relative Time Range,00:00.000 - 05:18.786
Absolute Time Range,3392.916186 - 3711.702215
