index,signal,timestamp
110,3679783,3396.616786796
174,3681911,3398.746584398
208,3683039,3399.872956006
1107,3713163,3429.997307844
1141,3714301,3431.140019337
2040,3744425,3461.264455911
2073,3745551,3462.386755668
2972,3775680,3492.519328754
3006,3776815,3493.653814621
3905,3806945,3523.78637011
3939,3808080,3524.920921598
4837,3838204,3555.045475171
4871,3839331,3556.171717931
5770,3869456,3586.30018745
5804,3870594,3587.438860875
6702,3900720,3617.567434163
6736,3901862,3618.705991184
7636,3932006,3648.854969636
7670,3933149,3649.9977156
8569,3963282,3680.130400747
8603,3964422,3681.268824418
